Away Result,Home Team,Team Away,Home Result,Date
0,Benfica,Marítimo,3,2017 APR
3,Vitória Setúbal,Sporting Lisbon,0,2017 APR
1,Marítimo,GD Chaves,2,2017 APR
1,Estoril Praia,CD Nacional,0,2017 APR
0,Rio Ave,Vitória Setúbal,0,2017 APR
1,Vitória Guimarães,Tondela,2,2017 APR
1,Moreirense,Benfica,0,2017 APR
1,Paços de Ferreira,Arouca,1,2017 APR
0,FC Porto,Belenenses,3,2017 APR
0,Sporting Lisbon,Boavista,4,2017 APR
1,Feirense,Sporting Braga,0,2017 APR
2,Belenenses,Feirense,1,2017 APR
0,Vitória Setúbal,Moreirense,2,2017 APR
2,Arouca,Sporting Lisbon,1,2017 APR
3,Sporting Braga,Marítimo,3,2017 APR
2,Tondela,Estoril Praia,0,2017 APR
1,Boavista,Rio Ave,0,2017 APR
1,Benfica,FC Porto,1,2017 APR
